country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file
Burma,2020,23200,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Burma-ert.xlsx
Burma,2021,26100,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Burma-ert.xlsx
Burma,2022,26000,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-Burma-ert.xlsx
Canada,2015,3699,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-canada.xlsx
Canada,2016,12020,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-canada.xlsx
Canada,2017,13494,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-canada.xlsx
Canada,2018,15605,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-canada.xlsx
Canada,2019,21782,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-canada.xlsx
Canada,2020,4000,e,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-canada.xlsx
Canada,2021,10000,e,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-canada.xlsx
Canada,2022,6000,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-canada.xlsx
Chile,2015,2979,,2019,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2019-chile.xlsx
Chile,2016,1110,,2019,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2019-chile.xlsx
Chile,2017,1562,,2020,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2020-21-Chile-advrel.xlsx
Chile,2018,712000,,2020,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,converted_from_thousand_t,3,myb3-2020-21-Chile-advrel.xlsx
Chile,2019,7000,,2020,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,converted_from_thousand_t,2,myb3-2020-21-Chile-advrel.xlsx
Chile,2020,1386,,2020,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,1,myb3-2020-21-Chile-advrel.xlsx
Chile,2021,382000,,2020,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,converted_from_thousand_t,1,myb3-2020-21-Chile-advrel.xlsx
China,2015,2335000,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,4,myb3-2019-china.xlsx
China,2016,2338000,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,3,myb3-2019-china.xlsx
China,2017,2032000,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,3,myb3-2020-21-china.xlsx
China,2018,1976000,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,4,myb3-2022-china.xlsx
China,2019,2006000,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,4,myb3-2023-china.xlsx
China,2020,1942000,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,3,myb3-2023-china.xlsx
China,2021,1964000,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,3,myb3-2023-china.xlsx
China,2022,1946000,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,2,myb3-2023-china.xlsx
China,2023,1966000,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,1,myb3-2023-china.xlsx
Cuba,2017,3000,r,2020,mine_production_pb_content,"Lead, mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-cuba.xlsx
Cuba,2018,24000,,2022,mine_production_pb_content,"Lead, mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-cuba.xlsx
Cuba,2019,35000,,2023,mine_production_pb_content,"Lead, mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-cuba.xlsx
Cuba,2020,34000,,2023,mine_production_pb_content,"Lead, mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-cuba.xlsx
Cuba,2021,29000,,2023,mine_production_pb_content,"Lead, mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-cuba.xlsx
