country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file
Italy,2019,32700,,2022,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-Italy-ert.xlsx
Italy,2020,36400,,2022,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Italy-ert.xlsx
Italy,2021,29400,r,2022,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Italy-ert.xlsx
Italy,2022,26000,,2022,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-Italy-ert.xlsx
Japan,2015,85655,,2019,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-japan.xlsx
Japan,2016,84660,,2019,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-japan.xlsx
Japan,2017,87366,,2020,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-japan.xlsx
Japan,2018,78223,,2022,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-Japan-ert.xlsx
Japan,2019,82098,,2022,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-Japan-ert.xlsx
Japan,2020,80304,,2022,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Japan-ert.xlsx
Japan,2021,80600,,2022,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Japan-ert.xlsx
Japan,2022,81000,,2022,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-Japan-ert.xlsx
Kazakhstan,2017,130000,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-kazakhstan.xlsx
Kazakhstan,2018,132000,e,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-kazakhstan.xlsx
Kazakhstan,2019,115000,e,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-kazakhstan.xlsx
