year,country_trans,bgs_commodity_trans,Mass of Pb,concat_figure_notes_text,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
1972,Greece,"lead, mine",16235,,,,,,,,,,,,,
1972,German Federal Republic,"lead, refined",273443,,,,,,,,,,,,,
1972,Algeria,"lead, mine",4989,,,,,,,,,,,,,
1972,German Federal Republic,"lead, mine",37559,,,,,,,,,,,,,
1972,German Democratic Rep,"lead, mine",5000,Estimates.,,,,,,,,,,,,
1972,Mexico,"lead, refined",137391,,,,,,,,,,,,,
1972,Korea (Rep. of),"lead, refined",3807,,,,,,,,,,,,,
1972,Argentina,"lead, mine",38365,,,,,,,,,,,,,
1972,Greenland,"lead, mine",0,,,,,,,,,,,,,
1972,France,"lead, mine",26618,,,,,,,,,,,,,
1972,Finland,"lead, mine",3849,Recoverable.,,,,,,,,,,,,
1972,Soviet Union,"lead, mine",495000,Estimates.,,,,,,,,,,,,
1972,Portugal,"lead, refined",717,,,,,,,,,,,,,
1972,Spain,"lead, refined",84400,,,,,,,,,,,,,
1972,Portugal,"lead, mine",1157,,,,,,,,,,,,,
1972,Netherlands,"lead, refined",22000,,,,,,,,,,,,,
1972,"Ireland, Republic of","lead, mine",59622,,,,,,,,,,,,,
1972,Sweden,"lead, mine",75841,,,,,,,,,,,,,
1972,Congo,"lead, mine",473,,,,,,,,,,,,,
1972,Poland,"lead, refined",65300,,,,,,,,,,,,,
1972,Australia,"lead, mine",396000,Estimates.,,,,,,,,,,,,
1972,Honduras,"lead, mine",20725,,,,,,,,,,,,,
1972,China,"lead, refined",125000,Estimates.|Including secondary metal.,,,,,,,,,,,,
1972,Italy,"lead, mine",33700,,,,,,,,,,,,,
1972,Peru,"lead, refined",86009,,,,,,,,,,,,,
1972,Korea (Rep. of),"lead, mine",14717,,,,,,,,,,,,,
1972,Japan,"lead, refined",223226,,,,,,,,,,,,,
1972,Tunisia,"lead, refined",25900,,,,,,,,,,,,,
1972,Bulgaria,"lead, mine",102000,Estimates.,,,,,,,,,,,,
1972,Turkey,"lead, refined",2400,,,,,,,,,,,,,
1972,Norway,"lead, mine",3419,,,,,,,,,,,,,
1972,United Kingdom,"lead, mine",4500,,,,,,,,,,,,,
1972,Morocco,"lead, mine",86600,,,,,,,,,,,,,
1972,"Korea, Dem. P.R. of","lead, mine",90000,Estimates.,,,,,,,,,,,,
1972,Bolivia,"lead, mine",19200,,,,,,,,,,,,,
1972,Nigeria,"lead, mine",321,Estimates.,,,,,,,,,,,,
1973,India,"lead, mine",7300,,,,,,,,,,,,,
1973,Romania,"lead, refined",45000,Estimates.,,,,,,,,,,,,
1973,Australia,"lead, mine",402796,,,,,,,,,,,,,
1973,Japan,"lead, refined",228036,,,,,,,,,,,,,
1973,"Ireland, Republic of","lead, mine",56188,,,,,,,,,,,,,
1973,United Kingdom,"lead, mine",3700,,,,,,,,,,,,,
1973,"Korea, Dem. P.R. of","lead, mine",100000,Estimates.,,,,,,,,,,,,
1973,China,"lead, refined",130000,Estimates.|Including secondary metal.,,,,,,,,,,,,
1973,Tunisia,"lead, refined",26900,,,,,,,,,,,,,
1973,Poland,"lead, refined",68400,,,,,,,,,,,,,
1973,German Federal Republic,"lead, refined",302577,,,,,,,,,,,,,
1973,Bulgaria,"lead, mine",105000,Estimates.,,,,,,,,,,,,
1973,"Korea, Dem. P.R. of","lead, refined",70000,Estimates.,,,,,,,,,,,,
1973,Hungary,"lead, mine",2540,,,,,,,,,,,,,
1973,Peru,"lead, refined",83268,,,,,,,,,,,,,
1973,German Federal Republic,"lead, mine",34496,,,,,,,,,,,,,
1973,Finland,"lead, mine",2134,Recoverable.,,,,,,,,,,,,
1973,Nigeria,"lead, mine",356,Estimates.,,,,,,,,,,,,
1973,France,"lead, mine",25009,,,,,,,,,,,,,
1973,Italy,"lead, mine",25900,,,,,,,,,,,,,
1973,Sweden,"lead, mine",75777,,,,,,,,,,,,,
1973,Soviet Union,"lead, mine",570000,Estimates.,,,,,,,,,,,,
1973,Austria,"lead, mine",6139,,,,,,,,,,,,,
1973,Mexico,"lead, refined",154143,,,,,,,,,,,,,
1973,Portugal,"lead, refined",841,,,,,,,,,,,,,
1973,Turkey,"lead, refined",5500,,,,,,,,,,,,,
1973,Argentina,"lead, mine",35120,,,,,,,,,,,,,
1973,Congo,"lead, mine",1340,,,,,,,,,,,,,
1973,Portugal,"lead, mine",460,,,,,,,,,,,,,
1973,Norway,"lead, mine",3335,,,,,,,,,,,,,
1973,Spain,"lead, refined",90700,,,,,,,,,,,,,
1973,Morocco,"lead, mine",94000,,,,,,,,,,,,,
1973,Honduras,"lead, mine",18544,,,,,,,,,,,,,
1973,Korea (Rep. of),"lead, refined",4640,,,,,,,,,,,,,
1973,Korea (Rep. of),"lead, mine",12870,,,,,,,,,,,,,
1973,Netherlands,"lead, refined",25300,,,,,,,,,,,,,
1973,Algeria,"lead, mine",3880,,,,,,,,,,,,,
1973,German Democratic Rep,"lead, mine",3000,Estimates.,,,,,,,,,,,,
1973,Greece,"lead, mine",17640,,,,,,,,,,,,,
1973,Greenland,"lead, mine",0,,,,,,,,,,,,,
1973,Canada,"lead, refined",186891,,,,,,,,,,,,,
1973,Bolivia,"lead, mine",20904,,,,,,,,,,,,,
1973,Czechoslovakia,"lead, mine",5300,Estimates.,,,,,,,,,,,,
1973,Norway,"lead, refined",900,,,,,,,,,,,,,
1973,Yugoslavia,"lead, refined",98033,,,,,,,,,,,,,
1973,Yugoslavia,"lead, mine",119312,,,,,,,,,,,,,
1973,France,"lead, refined",186410,,,,,,,,,,,,,
1973,Austria,"lead, refined",14740,Including secondary metal.,,,,,,,,,,,,
1973,Namibia,"lead, refined",66700,,,,,,,,,,,,,
1973,Myanmar,"lead, mine",9800,,,,,,,,,,,,,
1973,Denmark,"lead, refined",13400,,,,,,,,,,,,,
1973,Myanmar,"lead, refined",9800,,,,,,,,,,,,,
1973,German Democratic Rep,"lead, refined",35600,Estimates.|Including secondary metal.,,,,,,,,,,,,
1973,Australia,"lead, refined",190350,,,,,,,,,,,,,
1973,Czechoslovakia,"lead, refined",16724,,,,,,,,,,,,,
1973,Bulgaria,"lead, refined",100000,Estimates.,,,,,,,,,,,,
1973,Mexico,"lead, mine",179296,,,,,,,,,,,,,
1973,Colombia,"lead, mine",153,,,,,,,,,,,,,
1973,China,"lead, mine",130000,Estimates.,,,,,,,,,,,,
1973,Namibia,"lead, mine",63200,,,,,,,,,,,,,
1973,Zambia,"lead, refined",25015,,,,,,,,,,,,,
1973,Brazil,"lead, mine",25946,,,,,,,,,,,,,
1973,Chile,"lead, mine",252,,,,,,,,,,,,,
1973,Belgium,"lead, refined",113688,Including secondary metal.,,,,,,,,,,,,
1973,Italy,"lead, refined",46600,,,,,,,,,,,,,
1973,Japan,"lead, mine",52900,,,,,,,,,,,,,
1973,Greece,"lead, refined",24000,,,,,,,,,,,,,
1973,Canada,"lead, mine",387768,,,,,,,,,,,,,
1973,Brazil,"lead, refined",38400,,,,,,,,,,,,,
1973,Soviet Union,"lead, refined",640000,Estimates.,,,,,,,,,,,,
1973,United Kingdom,"lead, refined",265100,Including secondary metal.,,,,,,,,,,,,
1973,USA,"lead, mine",547054,Recoverable.,,,,,,,,,,,,
1973,Thailand,"lead, mine",3846,,,,,,,,,,,,,
1973,South Africa,"lead, mine",2164,,,,,,,,,,,,,
1973,Philippines,"lead, mine",0,,,,,,,,,,,,,
1973,India,"lead, refined",2636,,,,,,,,,,,,,
1973,Argentina,"lead, refined",32200,,,,,,,,,,,,,
1973,Peru,"lead, mine",183413,Recoverable.,,,,,,,,,,,,
1973,Tunisia,"lead, mine",15740,,,,,,,,,,,,,
1973,Turkey,"lead, mine",9600,,,,,,,,,,,,,
1973,Sweden,"lead, refined",46681,,,,,,,,,,,,,
1973,USA,"lead, refined",611911,,,,,,,,,,,,,
1973,Guatemala,"lead, mine",102,,,,,,,,,,,,,
1973,Romania,"lead, mine",45000,Estimates.,,,,,,,,,,,,
1973,Poland,"lead, mine",60500,,,,,,,,,,,,,
1973,Spain,"lead, mine",64408,,,,,,,,,,,,,
1973,Iran,"lead, mine",37500,Years ended 20 March following that stated.,,,,,,,,,,,,
1973,Guatemala,"lead, refined",65,,,,,,,,,,,,,
1974,Argentina,"lead, refined",37200,,,,,,,,,,,,,
1974,United Kingdom,"lead, refined",276900,Including secondary metal.,,,,,,,,,,,,
1974,Soviet Union,"lead, refined",660000,Estimates.,,,,,,,,,,,,
1974,South Africa,"lead, mine",3316,,,,,,,,,,,,,
1974,India,"lead, refined",3986,,,,,,,,,,,,,
1974,USA,"lead, refined",619508,,,,,,,,,,,,,
1974,Romania,"lead, mine",45000,Estimates.,,,,,,,,,,,,
1974,Guatemala,"lead, mine",112,,,,,,,,,,,,,
1974,Guatemala,"lead, refined",175,,,,,,,,,,,,,
1974,USA,"lead, mine",602253,Recoverable.,,,,,,,,,,,,
1974,Tunisia,"lead, mine",12664,,,,,,,,,,,,,
1974,Turkey,"lead, mine",7400,,,,,,,,,,,,,
1974,Poland,"lead, mine",64000,,,,,,,,,,,,,
1974,Peru,"lead, mine",165798,Recoverable.,,,,,,,,,,,,
1974,Spain,"lead, mine",64127,,,,,,,,,,,,,
1974,Iran,"lead, mine",47500,Years ended 20 March following that stated.,,,,,,,,,,,,
1974,Philippines,"lead, mine",1303,,,,,,,,,,,,,
1974,Thailand,"lead, mine",1452,,,,,,,,,,,,,
1974,Sweden,"lead, refined",45247,,,,,,,,,,,,,
1974,Turkey,"lead, refined",5600,,,,,,,,,,,,,
1974,"Ireland, Republic of","lead, mine",37695,,,,,,,,,,,,,
1974,Bolivia,"lead, mine",17623,,,,,,,,,,,,,
1974,Sweden,"lead, mine",73656,,,,,,,,,,,,,
1974,Congo,"lead, mine",1650,,,,,,,,,,,,,
1974,Mexico,"lead, refined",200180,,,,,,,,,,,,,
1974,"Korea, Dem. P.R. of","lead, refined",80000,Estimates.,,,,,,,,,,,,
1974,Poland,"lead, refined",71600,,,,,,,,,,,,,
1974,China,"lead, refined",140000,Estimates.|Including secondary metal.,,,,,,,,,,,,
1974,German Federal Republic,"lead, mine",30514,,,,,,,,,,,,,
1974,Korea (Rep. of),"lead, mine",10498,,,,,,,,,,,,,
1974,Morocco,"lead, mine",92537,,,,,,,,,,,,,
1974,Australia,"lead, mine",375304,,,,,,,,,,,,,
1974,United Kingdom,"lead, mine",3800,,,,,,,,,,,,,
1974,Peru,"lead, refined",80557,,,,,,,,,,,,,
1974,German Federal Republic,"lead, refined",321402,,,,,,,,,,,,,
1974,Italy,"lead, mine",23300,,,,,,,,,,,,,
1974,India,"lead, mine",8900,,,,,,,,,,,,,
1974,Canada,"lead, refined",126443,,,,,,,,,,,,,
1974,Nigeria,"lead, mine",220,Estimates.,,,,,,,,,,,,
