country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file,,,,
Canada,2019,147358,,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-canada.xlsx,,,,
Canada,2020,136000,e,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-canada.xlsx,,,,
Canada,2021,144000,e,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-canada.xlsx,,,,
Canada,2022,140000,,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-canada.xlsx,,,,
China,2015,1552000,,2019,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,4,myb3-2019-china.xlsx,,,,
China,2016,1663000,,2019,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,3,myb3-2019-china.xlsx,,,,
China,2017,2077000,r,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,3,myb3-2020-21-china.xlsx,,,,
China,2018,2252000,,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,4,myb3-2022-china.xlsx,,,,
China,2019,2225000,,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,4,myb3-2023-china.xlsx,,,,
China,2020,2200000,e,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,3,myb3-2023-china.xlsx,,,,
China,2021,2450000,,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,3,myb3-2023-china.xlsx,,,,
China,2022,2420000,,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,2,myb3-2023-china.xlsx,,,,
China,2023,2762000,,2023,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,1,myb3-2023-china.xlsx,,,,
Czech Republic,2015,45000,,2019,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,1,myb3-2019-czechia.xlsx,,,,
Czech Republic,2016,43000,,2019,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,1,myb3-2019-czechia.xlsx,,,,
Czech Republic,2017,45000,,2019,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,1,myb3-2019-czechia.xlsx,,,,
Czech Republic,2018,45000,,2019,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,1,myb3-2019-czechia.xlsx,,,,
Czech Republic,2019,45000,,2019,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,1,myb3-2019-czechia.xlsx,,,,
Czechia,2015,45000,,2017,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,1,myb3-2017-18_Czechia.xlsx,,,,
Czechia,2016,43000,,2017,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,1,myb3-2017-18_Czechia.xlsx,,,,
Czechia,2017,45000,,2020,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,2,myb3-2020-21-Czechia-advrel.xlsx,,,,
Czechia,2018,45000,,2022,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,3,myb3-2022-Czechia-advrel.xlsx,,,,
Czechia,2019,43000,,2022,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,2,myb3-2022-Czechia-advrel.xlsx,,,,
Czechia,2020,42000,e,2022,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,2,myb3-2022-Czechia-advrel.xlsx,,,,
Czechia,2021,43000,r,2022,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,2,myb3-2022-Czechia-advrel.xlsx,,,,
Czechia,2022,43000,,2022,refined_secondary,"Lead, refinery, secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,1,myb3-2022-Czechia-advrel.xlsx,,,,
Estonia,2015,8329,,2019,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-estonia.xlsx,,,,
Estonia,2016,8348,,2019,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-estonia.xlsx,,,,
Estonia,2017,9606,,2020,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Estonia-advrel.xlsx,,,,
Estonia,2018,7393,,2022,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-Estonia-advrel_0.xlsx,,,,
Estonia,2019,8209,,2022,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-Estonia-advrel_0.xlsx,,,,
Estonia,2020,12000,e,2022,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Estonia-advrel_0.xlsx,,,,
Estonia,2021,13000,e,2022,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Estonia-advrel_0.xlsx,,,,
Estonia,2022,13000,e,2022,refined_secondary,"Lead, refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-Estonia-advrel_0.xlsx,,,,
France,2015,72000,e,2019,refined_secondary,"Lead, refinery, secondary",thousand metric tons,converted_from_thousand_t,4,myb3-2019-france.xlsx,,,,
France,2016,70000,,2019,refined_secondary,"Lead, refinery, secondary",thousand metric tons,converted_from_thousand_t,3,myb3-2019-france.xlsx,,,,
France,2017,70000,,2020,refined_secondary,"Lead, refinery, secondary",thousand metric tons,converted_from_thousand_t,3,myb3-2020-21-france.xlsx,,,,
